FBgn0261614 CG42703
FBgn0015723 ESTS:92F9T
FBgn0015725 Eig82F
FBgn0015727 Est-F
FBgn0015728 Etr1
FBgn0015731 Fip2
FBgn0015738 I-55
FBgn0015741 K13sc
FBgn0015742 Klp7
FBgn0015743 Klp8
FBgn0015747 Lcp11
FBgn0015759 MHC95F-associated-protein
FBgn0015760 Map85
FBgn0015761 Mei66F
FBgn0015767 Mst302
FBgn0015768 Mst317
FBgn0015771 N::tor
FBgn0015780 Onf-AATAA
FBgn0015782 Pa
FBgn0015785 Pla
FBgn0015787 Ppi-16
FBgn0015792 Rab-RP2
FBgn0015804 Roc
FBgn0015819 Su(Kr[If])
FBgn0015820 Su(spl)
FBgn0015821 Su(var)2-S29
FBgn0015822 T-A7.1
FBgn0015823 T-B7.2
FBgn0015824 T-B9.3
FBgn0015825 T-B9.4
FBgn0015826 T-C9.12
FBgn0015827 T-D14.1
FBgn0015841 Vm39DE
FBgn0015842 Vm42A
FBgn0015847 akaal
FBgn0015848 anon-10Ca
FBgn0015849 anon-10Cb
FBgn0015850 anon-10Cc
FBgn0015851 anon-10Cd
FBgn0015852 anon-10Ce
FBgn0015853 anon-10Cf
FBgn0015854 anon-12Ea
FBgn0015855 anon-12Eb
FBgn0015856 anon-13Aa
FBgn0015857 anon-14Aa
FBgn0015858 anon-14Ab
FBgn0015859 anon-14Ac
FBgn0015860 anon-1Aa
FBgn0015861 anon-21Aa
FBgn0015862 anon-2216
FBgn0015863 anon-240K
FBgn0015869 anon-37Ca
FBgn0015873 anon-48Ab
FBgn0015876 anon-48Ae
FBgn0015877 anon-48Af
FBgn0015878 anon-48Ag
FBgn0015879 anon-48Ah
FBgn0015880 anon-48Ai
FBgn0015881 anon-48Aj
FBgn0015882 anon-64Bd
FBgn0015883 anon-64Be
FBgn0015884 anon-64Bf
FBgn0015885 anon-64Bg
FBgn0015886 anon-66Ba
FBgn0015887 anon-6Ea
FBgn0015888 anon-6Eb
FBgn0015889 anon-75Ca
FBgn0015890 anon-75Cd
FBgn0015891 anon-77Fa
FBgn0015892 anon-84Fa
FBgn0015893 anon-84Fb
FBgn0015894 su(Ubx[bx-1])
FBgn0015895 anon-95EFa
FBgn0015896 anon-95EFb
FBgn0015897 anon-99Da
FBgn0015899 anon-P1609-I
FBgn0015900 anon-P1609-II
FBgn0015901 anon-P1609-III
FBgn0015902 Ori93Falpha
FBgn0015906 atx
FBgn0015908 bangdoo
FBgn0015913 big
FBgn0015914 bk27
FBgn0015915 bk64
FBgn0015916 bk87
FBgn0015918 cant
FBgn0015921 cleo
FBgn0015922 cln
FBgn0015927 demented
FBgn0015928 dfc
FBgn0015931 dsRNABP5
FBgn0015932 dsRNABP6
FBgn0015935 eg-1
FBgn0015936 elg
FBgn0015937 emu
FBgn0015938 fits
FBgn0015939 fs(2)PC4-U
FBgn0015940 fs(3)2755
FBgn0015941 fs(3)820
FBgn0015942 ftz::prd
FBgn0015943 furrow
FBgn0015944 gang-of-three
FBgn0015950 hsk
FBgn0015951 jnh
FBgn0015955 l(1)5ABa
FBgn0015956 l(1)6Ef
FBgn0015957 l(1)6Fd
FBgn0015958 l(1)m-C
FBgn0015959 l(2)35Fg
FBgn0015960 l(2)40Aa
FBgn0015961 l(2)46Co
FBgn0015962 l(2)46Cp
FBgn0015963 l(2)46DEa
FBgn0015964 l(2)46DEb
FBgn0015965 l(2)46DEc
FBgn0015966 l(2)46DEd
FBgn0015968 l(2)55BCa
FBgn0015969 l(2)55Da
FBgn0015970 l(2)55Db
FBgn0015971 l(2)CA3
FBgn0015973 l(2)PC4-427
FBgn0015974 l(2)PC4-51
FBgn0015975 l(2)PC4-A
FBgn0015976 l(2)PC4-B
FBgn0015977 l(2)PC4-C
FBgn0015978 l(2)PC4-D
FBgn0015979 l(2)PC4-E
FBgn0015980 l(2)PC4-F
FBgn0015981 l(2)PC4-G
FBgn0015982 l(2)PC4-H
FBgn0015983 l(2)PC4-K
FBgn0015984 l(2)PC4-M
FBgn0015985 l(2)PC4-N
FBgn0015986 l(2)PC4-P
FBgn0015987 l(2)PC4-Q
FBgn0015988 l(2)PC4-R
FBgn0015989 l(2)PC4-S
FBgn0015992 l(2)k05422a
FBgn0015993 l(2)k06712
FBgn0015995 l(2)k08807
FBgn0015996 l(3)03884
FBgn0015997 l(3)100CDa
FBgn0015998 l(3)12E7
FBgn0015999 l(3)13m-320
FBgn0016000 l(3)2h
FBgn0016003 l(3)61Da
FBgn0016004 l(3)63Ec
FBgn0016005 l(3)63Ed
FBgn0016006 l(3)63Ee
FBgn0016007 l(3)63Fa
FBgn0016010 l(3)63Fd
FBgn0016014 l(3)64Am
FBgn0016018 l(3)73CFa
FBgn0016020 l(3)843
FBgn0016021 l(3)85Ak
FBgn0016023 l(3)87Em
FBgn0016024 l(3)89Bm
FBgn0016025 l(3)89Bn
FBgn0016026 l(3)89Ce
FBgn0016028 l(3)89Ek
FBgn0016029 l(3)89El
FBgn0016030 l(3)9D4
FBgn0016033 lnp
FBgn0016037 mis-b
FBgn0016039 mpl-1
FBgn0016040 mpl-2
FBgn0016042 lup-4
FBgn0016043 lup-1
FBgn0016044 ms(3)ods
FBgn0016046 noah
FBgn0016048 noose
FBgn0016049 noy
FBgn0016050 obx
FBgn0016055 pir
FBgn0016057 prd6
FBgn0016058 rtg
FBgn0016069 slinky
FBgn0016072 su(w[a])::tra
FBgn0016079 xerox
FBgn0016082 ynd
FBgn0016127 Caf4
FBgn0016625 E(gl)2A
FBgn0016626 E(gl)2B
FBgn0016627 E(gl)2C
FBgn0016628 E(gl)2D
FBgn0016629 E(gl)2E
FBgn0016630 E(gl)2F
FBgn0016631 E(gl)2G
FBgn0016632 E(gl)2H
FBgn0016633 E(gl)3A
FBgn0016634 E(gl)3B
FBgn0016635 E(gl)3C
FBgn0016636 E(gl)3D
FBgn0016637 E64
FBgn0016638 ER2-1
FBgn0016639 ER2-3
FBgn0016640 ER2-4
FBgn0016642 ER2-7A
FBgn0016643 ER2-7B
FBgn0016644 ER3-2
FBgn0016645 ER3-3
FBgn0016646 ER3-4
FBgn0016647 ER3-5
FBgn0016648 En(en)eg-1
FBgn0016649 Frda
FBgn0016659 H1
FBgn0016661 H2
FBgn0016663 Hrp39
FBgn0016664 Hrp44
FBgn0016666 Hrp54
FBgn0016667 Hrp62
FBgn0016668 Hrp70
FBgn0016669 Hrp75
FBgn0016676 Mab11B5
FBgn0016677 Mab13D2
FBgn0016678 Mab13G5
FBgn0016679 Mab3C7
FBgn0016682 Mrp53
FBgn0016689 Oab
FBgn0016690 Opl
FBgn0016692 Pas
FBgn0016702 Ras85D::Src64B
FBgn0016705 Reg-10
FBgn0016706 Reg-11
FBgn0016707 Reg-12
FBgn0016708 Reg-13
FBgn0016709 Reg-14
FBgn0016710 Reg-15
FBgn0016711 Reg-16
FBgn0016712 Reg-17
FBgn0016713 Reg-18
FBgn0016714 Reg-19
FBgn0016716 Reg-20
FBgn0016717 Reg-21
FBgn0016720 Reg-6
FBgn0016721 Reg-7
FBgn0016722 Reg-8
FBgn0016723 Reg-9
FBgn0016725 Roa
FBgn0016729 Rst(2)Lb
FBgn0016730 Rst(2)chl
FBgn0016731 SR3-10
FBgn0016732 SR3-2
FBgn0016736 SR3-6
FBgn0016737 SR3-7
FBgn0016738 SR3-8
FBgn0016744 Su(Raf)3C
FBgn0016755 Toki
FBgn0016760 Ybb
FBgn0016761 Z(400-600)
FBgn0016763 anon-12Da
FBgn0016764 anon-17Ca
FBgn0016765 anon-17Cb
FBgn0016766 anon-17Cc
FBgn0016767 anon-17Cd
FBgn0016768 l(1)1Bl
FBgn0016769 anon-2het
FBgn0016770 anon-47Aa
FBgn0016771 anon-59Da
FBgn0016772 anon-70Da
FBgn0016773 anon-70Db
FBgn0016774 anon-70Dc
FBgn0016775 anon-73Bc
FBgn0016777 anon-77Ba
FBgn0016778 anon-77Bb
FBgn0016779 anon-77Bc
FBgn0016780 anon-79Ba
FBgn0016781 anon-8Da
FBgn0016782 anon-8Db
FBgn0016783 anon-91Aa
FBgn0016784 anon-91Ab
FBgn0016785 anon-98EFa
FBgn0016786 anon-Ch-P
FBgn0016787 anon-E24
FBgn0016788 anon-E60
FBgn0016790 bose
FBgn0016791 csw::Src64B
FBgn0016793 dog
FBgn0016796 exl
FBgn0016798 l(1)18
FBgn0016799 l(1)44
FBgn0016800 l(1)K1
FBgn0016801 l(1)K3
FBgn0016802 l(1)K4
FBgn0016803 l(1)K5
FBgn0016804 l(1)K6
FBgn0016805 l(1)K7
FBgn0016806 l(1)K8
FBgn0016807 l(1)K9
FBgn0016808 l(1)L1
FBgn0016809 l(1)L10
FBgn0016810 l(1)L11
FBgn0016811 l(1)L12
FBgn0016812 l(1)L13
FBgn0016813 l(1)L15
FBgn0016814 l(1)L17
FBgn0016815 l(1)L18
FBgn0016816 l(1)L19
FBgn0016817 l(1)L2
FBgn0016818 l(1)L4
FBgn0016819 l(1)L6
FBgn0016820 l(1)L7
FBgn0016821 l(1)L8
FBgn0016822 l(1)MZ1
FBgn0016823 l(1)MZ10
FBgn0016824 l(1)MZ11
FBgn0016825 l(1)MZ12
FBgn0016826 l(1)MZ13
FBgn0016827 l(1)MZ14
FBgn0016828 l(1)MZ15
FBgn0016829 l(1)MZ16
FBgn0016830 l(1)MZ17
FBgn0016831 l(1)MZ18
FBgn0016832 l(1)MZ19
FBgn0016833 l(1)MZ20
FBgn0016834 l(1)MZ21
FBgn0016835 l(1)MZ3
FBgn0016836 l(1)MZ4
FBgn0016837 l(1)MZ5
FBgn0016838 l(1)MZ6
FBgn0016839 l(1)MZ8
FBgn0016840 l(1)MZ9
FBgn0016841 l(1)N1
FBgn0016842 l(1)N15
FBgn0016843 l(1)N17
FBgn0016844 l(1)N19
FBgn0016845 l(1)N23
FBgn0016846 l(1)N26
FBgn0016847 l(1)N27
FBgn0016848 l(1)N29
FBgn0016849 l(1)N30
FBgn0016850 l(1)N31
FBgn0016851 l(1)N32
FBgn0016852 l(1)N33
FBgn0016853 l(1)N34
FBgn0016854 l(1)N35
FBgn0016855 l(1)N36
FBgn0016856 l(1)N37
FBgn0016857 l(1)N4
FBgn0016858 l(1)N5
FBgn0016859 l(1)N6
FBgn0016860 l(1)N8
FBgn0016861 l(1)N9
FBgn0016863 l(2)39ADa
FBgn0016864 l(2)39ADb
FBgn0016865 l(2)39ADc
FBgn0016866 l(2)39ADd
FBgn0016867 l(2)39ADe
FBgn0016868 l(2)39Aa
FBgn0016871 l(2)39Ad
FBgn0016875 l(2)39Ah
FBgn0016876 l(2)39DEa
FBgn0016877 l(2)39DEb
FBgn0016878 l(2)39DEc
FBgn0016879 l(2)39DEd
FBgn0016880 l(2)39DEe
FBgn0016881 l(2)39DEf
FBgn0016882 l(2)39DEg
FBgn0016883 l(2)39DEh
FBgn0016884 l(2)39DEi
FBgn0016885 l(2)39DEj
FBgn0016886 l(2)39DEk
FBgn0016887 l(2)39DEl
FBgn0016888 l(2)39DEm
FBgn0016889 l(2)39DEn
FBgn0016890 l(2)39DEo
FBgn0016892 l(3)64Cb
FBgn0016894 l(3)64Cd
FBgn0016895 l(3)64Ce
FBgn0016896 l(3)64Cf
FBgn0016897 l(3)64Cg
FBgn0016898 l(3)64Ch
FBgn0016900 l(3)72CDb
FBgn0016901 l(3)72CDc
FBgn0016905 l(3)X1
FBgn0016906 l(3)X12
FBgn0016907 l(3)X2
FBgn0016908 l(3)X27
FBgn0016909 l(3)X39
FBgn0016910 l(3)X4
FBgn0016916 misn
FBgn0016918 ninaE::Rh2
FBgn0016921 nompD
FBgn0016922 put::tor
FBgn0016924 rope
FBgn0016927 smi26D
FBgn0016928 smi27E
FBgn0016929 smi28E
FBgn0016931 smi45E
FBgn0016932 smi51A
FBgn0016934 smi61A
FBgn0016935 smi65A
FBgn0016936 smi79E
FBgn0016938 smi98B
FBgn0016939 smiUNK
FBgn0016942 stich2
FBgn0016943 strb
FBgn0016945 tilA
FBgn0016946 tilC
FBgn0016947 tilD
FBgn0016948 tilE
FBgn0016949 tilF
FBgn0016950 tilG
FBgn0016951 tilH
FBgn0016952 tilI
FBgn0016953 tilJ
FBgn0016954 tilK
FBgn0016955 tilL
FBgn0016956 tilM
FBgn0016957 tilN
FBgn0016958 tilO
FBgn0016959 tilP
FBgn0016960 tkv::tor
FBgn0016962 umpA
FBgn0016963 umpB
FBgn0016964 vm1
FBgn0016965 vm2
FBgn0016966 vm3
FBgn0016968 wan
FBgn0016973 toto
FBgn0016979 snRNA:K9
FBgn0016980 snRNA:K8
FBgn0016981 snRNA:K2b
FBgn0016982 snRNA:K2a
FBgn0016988 oho48E
FBgn0016989 ms(3)25
FBgn0016990 ms(3)1342A
FBgn0016991 ms(2)1336A
FBgn0016992 ms(3)1199A
FBgn0016993 ms(3)1104C
FBgn0016997 limbo
FBgn0016998 len
FBgn0017358 l(3)L10
FBgn0017359 l(3)F51
FBgn0017360 l(3)C18
FBgn0017361 l(3)C106
FBgn0017362 l(3)89Bt
FBgn0017363 l(3)89Bq
FBgn0017364 l(3)89Br
FBgn0017366 l(3)89Bp
FBgn0017367 l(3)89Bo
FBgn0017370 l(2)YOa
FBgn0017371 l(2)C54
FBgn0017372 l(2)C19
FBgn0017373 l(2)C103
FBgn0017375 l(1)lpr-1
FBgn0017376 l(1)HM452
FBgn0017377 l(1)HM442
FBgn0017378 l(1)HM409
FBgn0017379 l(1)EA65
FBgn0017380 l(1)7-103
FBgn0017381 l(1)3-64
FBgn0017383 l(1)1Ai
FBgn0017384 l(1)15Fa
FBgn0017385 l(1)15Eb
FBgn0017386 l(1)15De
FBgn0017387 l(1)15Dd
FBgn0017388 l(1)15Dc
FBgn0017389 l(1)15Db
FBgn0017390 l(1)15Da
FBgn0017391 l(1)15Bc
FBgn0017392 l(1)15Bb
FBgn0017393 l(1)10Bt
FBgn0017394 l(1)10Bs
FBgn0017395 l(1)10Br
FBgn0017396 l(1)10Bq
FBgn0017398 ftz::Sxl
FBgn0017401 eve::ftz
FBgn0017403 eddy
FBgn0017404 dode
FBgn0017407 diva
FBgn0017410 ci::en
FBgn0017416 bac
FBgn0017417 axe
FBgn0017420 su(RpII215)S3
FBgn0017421 anon-75Ea
FBgn0017422 anon-70Cb
FBgn0017423 anon-70Ca
FBgn0017425 anon-68Ec
FBgn0017426 anon-68Eb
FBgn0017427 anon-68Ea
FBgn0017428 anon-67Ea
FBgn0017431 anon-4Bc
FBgn0017432 anon-4Bb
FBgn0017433 anon-4Ba
FBgn0017434 anon-28Ce
FBgn0017435 anon-28Cd
FBgn0017436 anon-28Cc
FBgn0017437 anon-28Cb
FBgn0017438 anon-28Ca
FBgn0017440 anon-21Cc
FBgn0017444 anon-15Dc
FBgn0017446 anon-15Da
FBgn0017447 anon-14Ca
FBgn0017450 abof
FBgn0017460 TfIIIC
FBgn0017461 TfIIIB
FBgn0017462 TfIIH-97
FBgn0017463 TfIIH-66
FBgn0017464 TfIIH-45
FBgn0017465 TfIIH-29
FBgn0017466 TfIIH-116
FBgn0017483 Sxl::w
FBgn0017484 Su(var)324
FBgn0017485 Su(var)315
FBgn0017486 Su(crc)2
FBgn0017543 SRp30
FBgn0017544 SAR
FBgn0017546 Rp34
FBgn0017562 Oef2
FBgn0017563 Oef1
FBgn0017564 Nuc3
FBgn0017571 Mow
FBgn0017580 M(1)14E
FBgn0017592 Irp
FBgn0017602 Hrb3
FBgn0017610 Grt
FBgn0017611 Gelatinase
FBgn0017621 Eig87F
FBgn0017622 Eig83B
FBgn0017623 Eig76Eb
FBgn0017624 Eig76Ea
FBgn0017625 Eig58C
FBgn0017626 Eig45Ab
FBgn0017627 Eig45Aa
FBgn0017628 Eig44C
FBgn0017629 Eig34C
FBgn0017630 Eig19C
FBgn0017631 Eig17B
FBgn0017632 Eig12E
FBgn0017635 ESTS:99D3T
FBgn0017636 ESTS:71C4S
FBgn0017637 ESTS:69B8T
FBgn0017638 ESTS:50C11S
FBgn0017639 ESTS:49G2T
FBgn0017640 ESTS:3H2T
FBgn0017642 ESTS:24D8T
FBgn0017643 ESTS:1H4T
FBgn0017644 ESTS:153H6S
FBgn0017646 ESTS:138F12T
FBgn0017647 ESTS:110H6T
FBgn0017649 E(Brd)M10
FBgn0018737 Dns
FBgn0019623 Crlbp
FBgn0019629 C62
FBgn0019638 ApII
FBgn0019639 ApI
FBgn0019640 Antp::ftz
FBgn0019651 su(mbm)
FBgn0019653 sng
FBgn0019654 smu
FBgn0019657 sAM16
FBgn0019658 sAB1
FBgn0019663 ply
FBgn0019665 p71
FBgn0019666 p56
FBgn0019668 mwr
FBgn0019669 ms(2)50Ca
FBgn0019670 mor(1)9
FBgn0019671 mor(1)8
FBgn0019672 mor(1)7
FBgn0019673 mor(1)6
FBgn0019674 mor(1)5
FBgn0019675 mor(1)4
FBgn0019676 mor(1)3
FBgn0019677 mor(1)2
FBgn0019678 mor(1)13
FBgn0019679 mor(1)12
FBgn0019680 mor(1)11
FBgn0019681 mor(1)10
FBgn0019682 mor(1)1
FBgn0019683 mng
FBgn0019684 mle::z
FBgn0019685 mbr
FBgn0019687 l(3)LG12
FBgn0019688 l(3)96Aa
FBgn0019689 l(3)92Eb
FBgn0019690 l(3)69Ai
FBgn0019691 l(3)69Ah
FBgn0019692 l(3)68Fi
FBgn0019693 l(3)68Fh
FBgn0019694 l(3)68Fg
FBgn0019695 l(2)k08601
FBgn0019698 l(2)k03111
FBgn0019700 l(2)94
FBgn0019701 l(2)42Bb
FBgn0019702 l(2)42Bc
FBgn0019703 l(2)50CDa
FBgn0019704 l(2)42Bd
FBgn0019714 l(2)46CFn
FBgn0019726 l(2)46CFb
FBgn0019728 l(2)148
FBgn0019730 l(1)XR49
FBgn0019731 l(1)A17
FBgn0019732 l(1)A14
FBgn0019733 l(1)A13
FBgn0019734 l(1)A10
FBgn0019735 l(1)9e3-21
FBgn0019736 l(1)98B
FBgn0019737 l(1)91-4
FBgn0019738 l(1)91-3
FBgn0019739 l(1)91-2
FBgn0019740 l(1)91-1
FBgn0019741 l(1)9
FBgn0019742 l(1)8e3-43
FBgn0019743 l(1)8E
FBgn0019744 l(1)89B
FBgn0019745 l(1)83B
FBgn0019746 l(1)83A
FBgn0019747 l(1)827
FBgn0019748 l(1)815-9
FBgn0019749 l(1)815-5
FBgn0019750 l(1)815-3
FBgn0019751 l(1)815-23
FBgn0019752 l(1)815-22
FBgn0019753 l(1)815-12
FBgn0019754 l(1)7B
FBgn0019755 l(1)75B5
FBgn0019756 l(1)75B4
FBgn0019757 l(1)75B3
FBgn0019758 l(1)75B2
FBgn0019759 l(1)75B1
FBgn0019760 l(1)74
FBgn0019761 l(1)72
FBgn0019762 l(1)71B
FBgn0019763 l(1)6c-21
FBgn0019764 l(1)5g11
FBgn0019765 l(1)56
FBgn0019766 l(1)54B2
FBgn0019767 l(1)54B1
FBgn0019768 l(1)54
FBgn0019769 l(1)53
FBgn0019770 l(1)48B
FBgn0019771 l(1)48
FBgn0019772 l(1)47
FBgn0019773 l(1)38
FBgn0019774 l(1)37
FBgn0019775 l(1)36
FBgn0019776 l(1)32
FBgn0019777 l(1)318
FBgn0019778 l(1)31
FBgn0019779 l(1)30
FBgn0019780 l(1)29
FBgn0019781 l(1)27
FBgn0019782 l(1)24
FBgn0019783 l(1)22
FBgn0019784 l(1)218
FBgn0019785 l(1)20
FBgn0019786 l(1)17
FBgn0019787 l(1)16
FBgn0019788 l(1)15
FBgn0019789 l(1)14
FBgn0019790 l(1)13
FBgn0019791 l(1)12
FBgn0019792 l(1)11A
FBgn0019793 l(1)11
FBgn0019794 l(1)105
FBgn0019795 l(1)100
FBgn0019796 l(1)10
FBgn0019797 l(1)08
FBgn0019798 l(1)07
FBgn0019799 l(1)06
FBgn0019800 l(1)05
FBgn0019801 l(1)04
FBgn0019802 l(1)02
FBgn0019803 l(1)01
FBgn0019804 ksr::tor
FBgn0019805 ifx
FBgn0019806 h::sc
FBgn0019808 argos::shg
FBgn0019810 ftz::RpP1
FBgn0019811 ftl2
FBgn0019812 fs(2)R
FBgn0019813 fs(2)80
FBgn0019819 ecp
FBgn0019821 eZ6
FBgn0019822 eK6
FBgn0019823 eH3
FBgn0019829 da::h
FBgn0019840 ato::sc
FBgn0019843 anon-pp84
FBgn0019844 anon-XXIV
FBgn0019845 anon-XXIII
FBgn0019846 anon-XX
FBgn0019847 anon-XVIII
FBgn0019848 anon-XVI
FBgn0019849 anon-XV
FBgn0019850 anon-XIV
FBgn0019851 anon-XIII
FBgn0019852 anon-XII
FBgn0019853 anon-VIII
FBgn0019854 anon-TE7
FBgn0019855 anon-IX
FBgn0019867 anon-B5
FBgn0019868 anon-B2
FBgn0019869 EP115
FBgn0019870 l(3)96Ad
FBgn0019871 l(3)96Ac
FBgn0019872 l(3)96Ab
FBgn0019873 anon-92Ef
FBgn0019874 anon-92Ee
FBgn0019875 anon-92Da
FBgn0019876 e(olfC)
FBgn0019877 anon-69Af
FBgn0019878 anon-69Ae
FBgn0019879 anon-69Ad
FBgn0019880 anon-69Ac
FBgn0019881 anon-69Ab
FBgn0019882 anon-69Aa
FBgn0019883 anon-64Ea
FBgn0019885 anon-63BC-T2
FBgn0019887 anon-50Aa
FBgn0019889 anon-42Ea
FBgn0019891 anon-2c11
FBgn0019892 anon-2Be
FBgn0019894 anon-2Bc
FBgn0019896 anon-2Ba
FBgn0019897 anon-1h11
FBgn0019903 anon-14Bg
FBgn0019904 anon-14Bf
FBgn0019905 anon-14Be
FBgn0019906 anon-14Bd
FBgn0019907 anon-14Bc
FBgn0019908 air
FBgn0019909 afl
FBgn0019912 Ypf1a
FBgn0019917 Ubc14B
FBgn0019918 TrlBR
FBgn0019921 T:nls3
FBgn0019927 Serpin-P9
FBgn0019933 S(rux)2C
FBgn0019935 Rsp80C
FBgn0019950 PTefa
FBgn0019953 NucU
FBgn0019954 Nrt::wg
FBgn0019966 Khc::sif
FBgn0019967 Khc::nod
FBgn0019970 Indf
FBgn0019980 Hmg14B
FBgn0019981 HatB
FBgn0019983 Gp188
FBgn0019984 Gp14B
FBgn0019986 Glt::Nrt
FBgn0020010 Fas1::Nrg
FBgn0020011 Fab-7
FBgn0020019 ESTS:99C2T
FBgn0020020 ESTS:98D7T
FBgn0020021 ESTS:98C9S
FBgn0020022 ESTS:96E3T
FBgn0020023 ESTS:79A11T
FBgn0020024 ESTS:68G9S
FBgn0020025 ESTS:64B3S
FBgn0020028 ESTS:47H9T
FBgn0020029 ESTS:43C6S
FBgn0020030 ESTS:39C11S
FBgn0020031 ESTS:38C6T
FBgn0020032 ESTS:36C2T
FBgn0020033 ESTS:34H9S
FBgn0020034 ESTS:30B8S
FBgn0020035 ESTS:22G12T
FBgn0020036 ESTS:200F9S
FBgn0020037 ESTS:200D12S
FBgn0020038 ESTS:19F12S
FBgn0020039 ESTS:193C11T
FBgn0020040 ESTS:18G3S
FBgn0020041 ESTS:186F2T
FBgn0020042 ESTS:17F2S
FBgn0020043 ESTS:175H3T
FBgn0020044 ESTS:170H11T
FBgn0020045 ESTS:166H10T
FBgn0020046 ESTS:15A8S
FBgn0020047 ESTS:155F7S
FBgn0020048 ESTS:145A2S
FBgn0020049 ESTS:143G7T
FBgn0020050 ESTS:139F11T
FBgn0020051 ESTS:131B10T
FBgn0020052 E(w[a])829
FBgn0020053 E(w[a])818
FBgn0020054 E(w[a])761
FBgn0020055 E(w[a])757
FBgn0020056 E(w[a])736
FBgn0020057 E(w[a])709
FBgn0020058 E(w[a])706
FBgn0020059 E(w[a])705
FBgn0020060 E(spl)::h
FBgn0020180 Dfd::ro
FBgn0020182 Ddc::ftz
FBgn0020220 Crp22
FBgn0020222 Chr2
FBgn0020223 Chr1
FBgn0020226 Calp14B
FBgn0020232 Antp::ro
FBgn0020234 Ace::Nrt
FBgn0020243 ziti
FBgn0020244 y5-5
FBgn0020246 tss
FBgn0020252 rubymine
FBgn0020260 peo
FBgn0020263 oro
FBgn0020265 oap
FBgn0020267 n-judah
FBgn0020268 mus115
FBgn0020271 moa
FBgn0020282 l(3)rF149
FBgn0020283 l(3)10532
FBgn0020284 l(3)08034
FBgn0020285 l(3)06266
FBgn0020287 l(3)02693
FBgn0020288 l(2)k06407
FBgn0020290 l(2)M167
FBgn0020292 l(2)39DEp
FBgn0020293 l(1)EH275a
FBgn0020295 kiwi
FBgn0020301 fs(3)100C
FBgn0020313 anon-9C1
FBgn0020314 anon-95ABa
FBgn0020316 anon-92CDa
FBgn0020317 anon-8F6
FBgn0020318 anon-86Fa
FBgn0020319 anon-86B
FBgn0020320 anon-85Db
FBgn0020323 anon-82Fa
FBgn0020324 anon-7H1
FBgn0020325 anon-73DFa
FBgn0020326 anon-72Ea
FBgn0020327 anon-72Da
FBgn0020328 anon-72BCa
FBgn0020329 anon-6F7
FBgn0020330 anon-6C5
FBgn0020331 anon-6A7
FBgn0020332 anon-67EFa
FBgn0020333 anon-66Dd
FBgn0020334 anon-66Dc
FBgn0020335 anon-66BCa
FBgn0020336 anon-65Bb
FBgn0020337 anon-65Ba
FBgn0020338 anon-62DEa
FBgn0020339 anon-5Cc
FBgn0020340 anon-5Cb
FBgn0020341 anon-5Ca
FBgn0020342 anon-57Ca
FBgn0020344 anon-51Ba
FBgn0020345 Clch
FBgn0020346 anon-48Fa
FBgn0020347 anon-47Ea
FBgn0020816 l(3)Fox
FBgn0020348 anon-46Fa
FBgn0020349 anon-44CDa
FBgn0020350 anon-44Aa
FBgn0020351 anon-43AB
FBgn0020352 anon-34Fa
FBgn0020353 anon-32ABa
FBgn0020354 anon-2G8
FBgn0262572 CG43112
FBgn0020355 anon-2G10
FBgn0020356 anon-2Da
FBgn0020357 anon-28Cf
FBgn0020358 anon-28Aa
FBgn0020359 anon-1H11
FBgn0020361 anon-1D2
FBgn0020362 anon-1C2
FBgn0020363 anon-1A1
FBgn0020364 anon-17Aa
FBgn0020365 anon-15ABa
FBgn0020366 anon-10Ea
FBgn0020387 Pdz
FBgn0020390 P-25
FBgn0020401 Mpk2B
FBgn0020406 Mcc
FBgn0020426 HLH44A
FBgn0020433 GMR
FBgn0020441 Est-17
FBgn0020442 Eric
FBgn0020446 E-1a
FBgn0020467 Dsor3
FBgn0020494 D59
FBgn0020495 D2
FBgn0020501 CU58
FBgn0020502 CU31.4
FBgn0020504 C43
FBgn0020505 BEO2
FBgn0020514 A35
FBgn0020515 A3
FBgn0020520 plt
FBgn0020523 nerd
FBgn0020524 ms(3)CB27
FBgn0020525 mit(3)r135
FBgn0020526 mit(3)R72
FBgn0020527 mit(3)R2
FBgn0020529 l(3)CB24
FBgn0020530 l(3)9C3
FBgn0020531 l(3)319.4
FBgn0020532 l(3)1A1
FBgn0020534 l(2)k09201
FBgn0086912 mbm
FBgn0020535 l(2)k06003
FBgn0037359 MED27
FBgn0020538 Adk2-60B
FBgn0020540 l(2)k01015
FBgn0020543 l(1)18DEb
FBgn0020541 l(2)DTS4
FBgn0020542 l(1)18DEc
FBgn0020544 l(1)18DEa
FBgn0020550 fs(2)35Ed
FBgn0020551 fs(2)35Ec
FBgn0020554 cro
FBgn0020557 bb-Psi
FBgn0020558 atg
FBgn0020559 anon-XII-F3
FBgn0020560 anon-VIII-E7
FBgn0020561 anon-VII-I8
FBgn0020562 anon-VII-C7
FBgn0020563 anon-VI-C4
FBgn0020564 anon-II-E9
FBgn0020565 anon-EB8
FBgn0020566 anon-88Ad
FBgn0020567 anon-88Ac
FBgn0020568 anon-88Ab
FBgn0020572 anon-62Ea
FBgn0020573 anon-59Fa
FBgn0020569 anon-88Aa
FBgn0020570 anon-85Cb
FBgn0020571 anon-85Ca
FBgn0020574 anon-59Ck
FBgn0020575 anon-59Cj
FBgn0020576 anon-59Ci
FBgn0020577 anon-59Ch
